iter	Passed	Remaining
0	96	96321
1	221	110584
2	320	106518
3	467	116404
4	618	123069
5	759	125762
6	944	133919
7	1053	130678
8	1175	129476
9	1323	131009
10	1487	133703
11	1617	133170
12	1757	133421
13	1902	133977
14	2020	132654
15	2112	129888
16	2182	126189
17	2278	124306
18	2371	122435
19	2461	120626
20	2544	118633
21	2668	118607
22	2773	117792
23	2880	117157
24	2971	115893
25	3080	115411
26	3191	115025
27	3295	114389
28	3394	113650
29	3498	113102
30	3590	112235
31	3724	112655
32	3872	113461
33	3983	113191
34	4087	112686
35	4226	113187
36	4356	113392
37	4527	114619
38	4686	115467
39	4782	114780
40	4878	114104
41	4960	113155
42	5042	112223
43	5125	111368
44	5234	111087
45	5356	111079
46	5481	111147
47	5613	111342
48	5737	111363
49	5864	111425
50	6002	111698
51	6117	111531
52	6236	111430
53	6360	111430
54	6498	111664
55	6638	111900
56	6786	112269
57	6912	112264
58	7000	111655
59	7114	111465
60	7235	111383
61	7380	111656
62	7565	112526
63	7791	113943
64	7983	114832
65	8144	115253
66	8267	115126
67	8362	114609
68	8444	113943
69	8551	113612
70	8742	114392
71	8906	114788
72	9038	114778
73	9144	114429
74	9296	114657
75	9397	114255
76	9477	113601
77	9557	112971
78	9639	112375
79	9712	111698
80	9801	111203
81	9899	110824
82	9985	110316
83	10060	109703
84	10158	109357
85	10265	109101
86	10368	108808
87	10491	108725
88	10616	108673
89	10712	108310
90	10837	108252
91	10943	108012
92	11068	107943
93	11184	107803
94	11287	107528
95	11379	107155
96	11462	106710
97	11534	106166
98	11635	105894
99	11747	105724
100	11848	105460
101	11963	105322
102	12063	105061
103	12168	104837
104	12313	104953
105	12501	105436
106	12707	106050
107	12925	106758
108	13243	108252
109	13510	109309
110	13708	109788
111	13935	110488
112	14181	111315
113	14392	111857
114	14618	112501
115	14797	112767
116	14966	112953
117	15161	113325
118	15352	113661
119	15505	113705
120	15667	113818
121	15811	113789
122	15994	114038
123	16264	114903
124	16462	115240
125	16636	115397
126	16874	115997
127	17046	116126
128	17184	116025
129	17311	115851
130	17470	115890
131	17651	116073
132	17831	116237
133	18035	116556
134	18201	116624
135	18396	116874
136	18551	116858
137	18788	117362
138	18879	116941
139	18995	116683
140	19099	116355
141	19215	116105
142	19317	115772
143	19465	115713
144	19605	115603
145	19701	115242
146	19795	114865
147	19930	114732
148	20081	114692
149	20203	114488
150	20566	115633
151	20741	115713
152	20846	115407
153	20985	115282
154	21105	115056
155	21193	114662
156	21287	114299
157	21402	114056
158	21500	113720
159	21601	113409
160	21701	113088
161	21837	112959
162	21924	112579
163	22026	112280
164	22103	111859
165	22214	111608
166	22328	111376
167	22424	111053
168	22538	110827
169	22626	110468
170	22760	110340
171	22900	110241
172	23068	110275
173	23187	110074
174	23315	109917
175	23457	109821
176	23691	110158
177	23835	110071
178	23942	109813
179	24058	109599
180	24139	109227
181	24230	108902
182	24328	108613
183	24405	108231
184	24481	107849
185	24594	107631
186	24713	107445
187	24827	107233
188	24900	106849
189	24990	106538
190	25064	106163
191	25161	105889
192	25242	105547
193	25292	105079
194	25380	104777
195	25474	104498
196	25585	104291
197	25685	104041
198	25764	103703
199	25858	103434
200	25931	103082
201	26029	102828
202	26139	102625
203	26227	102337
204	26306	102016
205	26387	101706
206	26462	101376
207	26564	101151
208	26672	100946
209	26755	100652
210	26851	100405
211	26932	100108
212	27022	99842
213	27118	99603
214	27226	99408
215	27320	99162
216	27430	98977
217	27567	98888
218	27667	98666
219	27757	98412
220	27856	98191
221	27960	97986
222	28082	97848
223	28209	97725
224	28360	97684
225	28481	97543
226	28594	97372
227	28711	97217
228	28845	97117
229	28985	97039
230	29102	96882
231	29275	96911
232	29402	96787
233	29573	96809
234	29701	96688
235	29824	96549
236	29951	96424
237	30039	96176
238	30132	95945
239	30223	95709
240	30306	95446
241	30382	95165
242	30460	94891
243	30550	94656
244	30613	94339
245	30683	94045
246	30769	93802
247	30859	93575
248	30938	93312
249	31014	93043
250	31095	92792
251	31169	92519
252	31242	92245
253	31313	91968
254	31397	91728
255	31493	91528
256	31576	91288
257	31658	91048
258	31730	90780
259	31809	90535
260	31886	90283
261	31961	90029
262	32041	89788
263	32138	89598
264	32250	89449
265	32353	89276
266	32463	89121
267	32582	88994
268	32669	88779
269	32775	88616
270	32870	88422
271	32975	88257
272	33099	88143
273	33298	88229
274	33451	88191
275	33610	88167
276	33725	88027
277	33826	87852
278	33938	87705
279	34024	87492
280	34139	87353
281	34252	87211
282	34355	87041
283	34463	86887
284	34553	86686
285	34634	86465
286	34754	86342
287	34858	86177
288	34954	85994
289	35128	86004
290	35263	85918
291	35417	85874
292	35604	85913
293	35719	85775
294	35846	85666
295	35969	85548
296	36118	85493
297	36279	85464
298	36592	85789
299	36732	85709
300	36814	85492
301	36888	85258
302	36959	85019
303	37046	84818
304	37137	84624
305	37224	84424
306	37291	84179
307	37364	83948
308	37448	83743
309	37557	83595
310	37642	83393
311	37730	83200
312	37806	82981
313	37879	82756
314	37976	82584
315	38091	82450
316	38172	82246
317	38244	82021
318	38317	81800
319	38399	81598
320	38491	81420
321	38600	81276
322	38678	81069
323	38780	80912
324	38872	80734
325	38967	80565
326	39076	80423
327	39166	80244
328	39257	80066
329	39357	79908
330	39446	79726
331	39523	79523
332	39610	79339
333	39701	79164
334	39781	78968
335	39855	78761
336	39942	78581
337	40036	78415
338	40115	78219
339	40191	78018
340	40267	77818
341	40346	77626
342	40456	77492
343	40578	77382
344	40685	77243
345	40801	77121
346	40904	76975
347	41015	76845
348	41096	76657
349	41168	76455
350	41264	76299
351	41358	76136
352	41433	75941
353	41507	75745
354	41586	75558
355	41721	75473
356	41843	75365
357	42004	75325
358	42111	75190
359	42239	75092
360	42365	74990
361	42473	74857
362	42613	74779
363	42714	74632
364	42815	74486
365	42907	74325
366	42986	74142
367	43089	74001
368	43174	73830
369	43259	73658
370	43349	73496
371	43441	73337
372	43538	73186
373	43618	73008
374	43711	72851
375	43805	72698
376	43882	72515
377	43957	72331
378	44032	72148
379	44113	71975
380	44211	71828
381	44298	71666
382	44372	71482
383	44451	71307
384	44531	71135
385	44616	70969
386	44708	70817
387	44780	70633
388	44838	70426
389	44909	70243
390	45000	70090
391	45094	69942
392	45164	69758
393	45244	69589
394	45320	69414
395	45398	69243
396	45496	69103
397	45600	68973
398	45668	68788
399	45745	68617
400	45818	68442
401	45889	68264
402	45977	68110
403	46058	67947
404	46133	67776
405	46212	67611
406	46291	67446
407	46364	67274
408	46448	67117
409	46530	66957
410	46616	66806
411	46684	66626
412	46756	66455
413	46832	66289
414	46904	66117
415	46978	65951
416	47065	65801
417	47167	65673
418	47248	65515
419	47326	65355
420	47400	65189
421	47478	65029
422	47551	64862
423	47631	64706
424	47753	64608
425	47866	64496
426	47975	64378
427	48105	64290
428	48223	64184
429	48363	64110
430	48504	64034
431	48665	63986
432	48782	63879
433	48931	63814
434	49036	63690
435	49151	63580
436	49268	63474
437	49372	63350
438	49487	63240
439	49591	63115
440	49715	63018
441	49803	62873
442	49906	62749
443	50009	62624
444	50118	62507
445	50289	62466
446	50406	62360
447	50593	62338
448	50725	62248
449	50901	62212
450	51035	62124
451	51146	62009
452	51302	61948
453	51413	61831
454	51525	61717
455	51658	61627
456	51830	61584
457	51986	61521
458	52193	61517
459	52329	61430
460	52460	61337
461	52600	61253
462	52730	61157
463	52833	61031
464	52956	60928
465	53074	60819
466	53191	60708
467	53305	60595
468	53405	60465
469	53506	60336
470	53581	60180
471	53666	60033
472	53793	59935
473	53909	59823
474	54029	59717
475	54206	59673
476	54315	59554
477	54592	59617
478	54959	59778
479	55141	59736
480	55379	59754
481	55561	59710
482	55714	59635
483	55831	59522
484	55937	59397
485	56039	59267
486	56254	59257
487	56421	59196
488	56618	59165
489	56772	59089
490	56986	59075
491	57156	59015
492	57315	58942
493	57471	58867
494	57564	58727
495	57647	58577
496	57718	58415
497	57792	58257
498	57887	58119
499	57982	57982
500	58057	57825
501	58144	57681
502	58250	57556
503	58418	57491
504	58563	57403
505	58693	57301
506	58824	57199
507	58958	57101
508	59100	57010
509	59212	56890
510	59332	56778
511	59485	56696
512	59590	56570
513	59687	56435
514	59770	56288
515	59885	56172
516	59977	56033
517	60071	55896
518	60169	55763
519	60262	55626
520	60354	55489
521	60430	55336
522	60504	55182
523	60580	55031
524	60656	54879
525	60773	54765
526	60887	54648
527	61001	54531
528	61112	54411
529	61248	54314
530	61377	54211
531	61490	54092
532	61614	53984
533	61730	53869
534	61842	53750
535	61913	53596
536	62008	53463
537	62106	53332
538	62182	53183
539	62273	53047
540	62364	52911
541	62434	52758
542	62501	52602
543	62596	52470
544	62683	52332
545	62762	52187
546	62835	52037
547	62942	51915
548	63025	51775
549	63101	51628
550	63181	51485
551	63276	51354
552	63368	51222
553	63441	51073
554	63538	50944
555	63623	50807
556	63689	50654
557	63785	50525
558	63877	50393
559	63964	50258
560	64043	50116
561	64140	49988
562	64239	49862
563	64319	49722
564	64412	49591
565	64509	49465
566	64610	49340
567	64682	49194
568	64761	49054
569	64864	48933
570	64967	48811
571	65072	48690
572	65162	48558
573	65271	48442
574	65376	48321
575	65462	48187
576	65551	48056
577	65643	47926
578	65738	47799
579	65830	47670
580	65916	47536
581	66009	47408
582	66113	47288
583	66212	47165
584	66289	47025
585	66423	46927
586	66575	46840
587	66676	46718
588	66786	46603
589	66856	46459
590	66983	46356
591	67098	46243
592	67224	46138
593	67344	46029
594	67459	45917
595	67589	45816
596	67718	45712
597	67817	45589
598	67920	45469
599	68036	45357
600	68146	45241
601	68226	45106
602	68307	44972
603	68394	44841
604	68470	44703
605	68581	44589
606	68662	44454
607	68738	44318
608	68810	44178
609	68882	44039
610	68955	43901
611	69022	43759
612	69109	43630
613	69200	43504
614	69284	43373
615	69373	43245
616	69444	43107
617	69519	42971
618	69608	42844
619	69685	42710
620	69782	42588
621	69865	42458
622	69938	42322
623	69998	42178
624	70066	42040
625	70143	41907
626	70214	41770
627	70289	41636
628	70391	41518
629	70487	41397
630	70550	41256
631	70623	41122
632	70706	40993
633	70780	40860
634	70851	40725
635	70924	40591
636	71000	40460
637	71087	40334
638	71185	40215
639	71245	40075
640	71325	39946
641	71403	39817
642	71474	39683
643	71547	39550
644	71616	39417
645	71689	39284
646	71795	39171
647	71883	39047
648	71962	38919
649	72067	38805
650	72148	38678
651	72217	38545
652	72306	38423
653	72393	38299
654	72462	38167
655	72564	38051
656	72649	37928
657	72730	37802
658	72816	37678
659	72935	37572
660	73038	37458
661	73152	37349
662	73269	37242
663	73389	37136
664	73497	37025
665	73631	36926
666	73736	36813
667	73859	36708
668	73972	36599
669	74069	36481
670	74149	36356
671	74228	36230
672	74318	36110
673	74404	35988
674	74483	35862
675	74575	35743
676	74667	35624
677	74748	35499
678	74826	35374
679	74917	35255
680	75013	35138
681	75083	35009
682	75160	34884
683	75238	34759
684	75333	34642
685	75437	34529
686	75517	34406
687	75588	34278
688	75662	34152
689	75751	34033
690	75840	33914
691	75917	33790
692	75992	33664
693	76064	33538
694	76145	33416
695	76232	33296
696	76319	33177
697	76399	33055
698	76468	32928
699	76540	32803
700	76620	32681
701	76718	32567
702	76804	32448
703	76874	32322
704	76950	32199
705	77020	32073
706	77092	31949
707	77178	31830
708	77267	31713
709	77360	31598
710	77423	31470
711	77486	31342
712	77560	31220
713	77627	31094
714	77701	30972
715	77797	30858
716	77893	30744
717	77966	30621
718	78039	30499
719	78115	30378
720	78187	30255
721	78255	30131
722	78349	30017
723	78448	29905
724	78527	29786
725	78613	29669
726	78718	29560
727	78803	29442
728	78916	29336
729	79025	29228
730	79134	29120
731	79253	29016
732	79363	28908
733	79488	28806
734	79637	28712
735	79758	28609
736	79866	28500
737	79989	28397
738	80097	28288
739	80194	28176
740	80294	28065
741	80388	27951
742	80479	27837
743	80583	27727
744	80678	27614
745	80782	27504
746	80877	27392
747	80973	27279
748	81091	27174
749	81186	27062
750	81273	26946
751	81361	26831
752	81454	26718
753	81560	26610
754	81664	26500
755	81760	26388
756	81847	26273
757	81942	26161
758	82039	26049
759	82133	25937
760	82222	25822
761	82330	25714
762	82417	25600
763	82527	25492
764	82629	25383
765	82734	25274
766	82815	25157
767	82896	25041
768	82967	24922
769	83052	24807
770	83145	24695
771	83225	24579
772	83306	24463
773	83391	24349
774	83490	24239
775	83556	24119
776	83631	24002
777	83714	23887
778	83812	23777
779	83894	23662
780	83970	23546
781	84047	23430
782	84132	23316
783	84209	23200
784	84286	23084
785	84347	22964
786	84411	22845
787	84492	22731
788	84573	22617
789	84672	22508
790	84756	22394
791	84858	22286
792	84957	22176
793	85052	22066
794	85177	21963
795	85302	21861
796	85414	21755
797	85522	21648
798	85630	21541
799	85731	21432
800	85805	21317
801	85908	21209
802	85994	21097
803	86079	20984
804	86171	20873
805	86255	20761
806	86333	20647
807	86414	20534
808	86492	20420
809	86564	20305
810	86636	20190
811	86722	20078
812	86816	19968
813	86888	19854
814	86965	19740
815	87035	19625
816	87104	19510
817	87179	19396
818	87261	19284
819	87359	19176
820	87439	19064
821	87514	18950
822	87579	18835
823	87646	18720
824	87726	18608
825	87798	18495
826	87873	18382
827	87963	18272
828	88049	18162
829	88138	18052
830	88225	17942
831	88316	17833
832	88405	17723
833	88486	17612
834	88572	17502
835	88662	17393
836	88759	17285
837	88850	17176
838	88941	17067
839	89022	16956
840	89095	16844
841	89166	16731
842	89243	16620
843	89341	16513
844	89441	16406
845	89521	16295
846	89592	16183
847	89667	16072
848	89739	15960
849	89808	15848
850	89885	15737
851	89960	15626
852	90028	15514
853	90121	15407
854	90204	15297
855	90281	15187
856	90357	15077
857	90433	14966
